Ship type,Reporting Period,Technical efficiency,tech_eff_name,tech_eff,Port of Registry,Home Port,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],Annual Total time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],C02 emissions per hour,C02 emissions per fuel consumption,EEOI_Index
Bulk carrier,2018,EIV (4.5 gCO₂/t·nm),EIV,4.5,Monrovia,,1018.96,3184.39,0.0,351.04,2692.36,140.98,909.47,100.75,2.7,314.85,8.42,3.5013689291565413,3.125137394990971,8.42
Bulk carrier,2018,EIV (4.89 gCO₂/t·nm),EIV,4.89,"Hong Kong, China","Hong Kong, China",1214.2,3793.16,0.0,974.14,2695.59,123.43,969.2,98.76,2.68,308.51,8.39,3.9137020222864214,3.123999341129962,8.39
Bulk carrier,2018,EIV (4.89 gCO₂/t·nm),EIV,4.89,Valletta,,1664.96,5227.19,0.0,1097.57,3718.41,411.2,1623.85,122.09,4.03,383.3,12.65,3.219010376574191,3.139528877570632,12.65
Bulk carrier,2018,EIV (4.05 gCO₂/t·nm),EIV,4.05,Valletta,,4066.35,12720.6,875.0,4112.0,6963.0,771.0,4184.9,111.54,2.58,348.93,8.06,3.039642524313604,3.12825998745804,8.06
Bulk carrier,2018,EIV (4.05 gCO₂/t·nm),EIV,4.05,Majuro,,1784.2,5602.79,2950.21,1427.68,560.79,664.11,1421.68,116.74,3.41,366.58,10.71,3.940964211355579,3.140225311063782,10.71
Bulk carrier,2018,EIV (7.02 gCO₂/t·nm),EIV,7.02,,,228.0,716.25,239.06,435.51,0.0,41.68,235.0,87.12,4.55,273.69,14.3,3.047872340425532,3.1414473684210527,14.3
Bulk carrier,2018,EIV (5.57 gCO₂/t·nm),EIV,5.57,Panama,Panama,1855.88,5791.52,1107.36,2107.26,2308.52,268.37,2151.7,95.07,3.35,296.68,10.46,2.6916019891248784,3.1206327995344525,10.46
Bulk carrier,2018,EIV (5.25 gCO₂/t·nm),EIV,5.25,Panama,,1935.6,6065.99,1587.24,1173.47,3027.46,277.81,1879.34,97.93,3.01,306.91,9.44,3.22772356252727,3.133906798925398,9.44
Bulk carrier,2018,EIV (5.25 gCO₂/t·nm),EIV,5.25,Panama,,2565.09,8027.13,262.65,3873.81,3683.29,207.37,2661.63,99.34,2.17,310.86,6.78,3.0158699744141746,3.129375577465118,6.78
Bulk carrier,2018,EIV (6.29 gCO₂/t·nm),EIV,6.29,Valletta,,653.02,2053.46,336.15,886.87,654.32,211.78,827.28,79.35,2.86,249.52,9.0,2.4821825742191277,3.1445591252947844,9.0
Bulk carrier,2018,EIV (5.6 gCO₂/t·nm),EIV,5.6,,,1625.6,5096.23,4846.85,0.0,0.0,249.37,3261.11,53.57,4.32,167.93,13.53,1.5627286414748351,3.134984005905512,13.53
Bulk carrier,2018,EIV (3.82 gCO₂/t·nm),EIV,3.82,Nassau,Nassau,601.72,1894.57,3.75,540.34,1299.31,51.16,662.12,106.93,2.07,336.69,6.53,2.8613695402646044,3.148590706640962,6.53
Bulk carrier,2018,EIV (6.83 gCO₂/t·nm),EIV,6.83,MONROVIA,,766.91,2417.43,0.0,1048.86,1101.1,267.48,940.27,71.53,3.94,225.48,12.42,2.5709955651036402,3.1521690941570717,12.42
Bulk carrier,2018,EIV (5.56 gCO₂/t·nm),EIV,5.56,"Hong Kong, China","Hong Kong, China",2730.1,8520.24,419.47,4015.81,3804.12,280.85,2473.0,97.11,4.2,303.06,13.12,3.4453052972098663,3.1208527160177284,13.12
Bulk carrier,2018,EIV (6.21 gCO₂/t·nm),EIV,6.21,MAJURO,,857.49,2684.34,133.74,548.07,1754.37,248.15,663.5,104.51,3.42,327.16,10.72,4.045727204220046,3.1304621628240565,10.72
Bulk carrier,2018,EIV (4.99 gCO₂/t·nm),EIV,4.99,Majuro,,1660.73,5188.58,392.17,2914.19,1635.44,246.78,1933.3,100.27,2.44,313.26,7.61,2.683794548181865,3.124276673511046,7.61
Bulk carrier,2018,EIV (5.33 gCO₂/t·nm),EIV,5.33,MAJURO,,979.25,3051.79,0.0,2820.87,123.68,107.24,876.5,94.19,2.27,293.55,7.08,3.4817912150598973,3.116456471789635,7.08
Bulk carrier,2018,EIV (4.16 gCO₂/t·nm),EIV,4.16,Monrovia,Monrovia,1817.0,5712.97,1209.0,1968.0,2358.0,181.0,2027.0,90.87,1.65,285.72,5.2,2.8184361124815,3.1441772151898735,5.2
Bulk carrier,2018,EIV (3.83 gCO₂/t·nm),EIV,3.83,Monrovia,,1546.14,4828.72,0.0,1672.53,3126.93,29.82,1576.85,98.14,2.84,306.51,8.85,3.0622570314234077,3.1230807042053113,8.85
